"time","score","max","min","number_of_tweets"
"2020-04-06 00:00:00","-0.2997","0.0","-0.5994","2"
"2020-04-06 00:02:00","0.2003","0.2003","0.2003","1"
"2020-04-06 00:04:00","-0.2244","-0.2244","-0.2244","1"
"2020-04-06 00:07:00","0.0","0.0","0.0","1"
"2020-04-06 00:11:00","-0.2176","0.3612","-0.7964","2"
"2020-04-06 00:12:00","-0.7964","-0.7964","-0.7964","1"
"2020-04-06 00:13:00","0.4753","0.4753","0.4753","1"
"2020-04-06 00:16:00","0.0","0.0","0.0","1"
"2020-04-06 00:20:00","-0.7964","-0.7964","-0.7964","1"
"2020-04-06 00:21:00","-0.3954","-0.3954","-0.3954","1"
"2020-04-06 00:29:00","-0.7964","-0.7964","-0.7964","1"
"2020-04-06 00:30:00","0.28535","0.5707","0.0","2"
"2020-04-06 00:32:00","0.5983","0.5983","0.5983","1"
"2020-04-06 00:33:00","0.5396000000000001","0.555","0.5242","2"
"2020-04-06 00:37:00","0.0","0.0","0.0","1"
"2020-04-06 00:49:00","0.658","0.658","0.658","1"
"2020-04-06 00:50:00","0.0","0.0","0.0","1"
"2020-04-06 00:55:00","0.1027","0.1027","0.1027","1"
"2020-04-06 00:56:00","0.0","0.0","0.0","1"
"2020-04-06 00:59:00","0.7836","0.7836","0.7836","1"
"2020-04-06 01:01:00","0.0","0.0","0.0","1"
"2020-04-06 01:06:00","0.5838","0.5838","0.5838","1"
"2020-04-06 01:08:00","-0.2481","-0.2481","-0.2481","1"
"2020-04-06 01:12:00","0.6696","0.6696","0.6696","1"
"2020-04-06 01:13:00","0.42565","0.8513","0.0","2"
"2020-04-06 01:15:00","0.7424","0.7424","0.7424","1"
"2020-04-06 01:17:00","0.555","0.555","0.555","1"
"2020-04-06 01:22:00","0.0","0.0","0.0","1"
"2020-04-06 01:26:00","0.8309","0.8309","0.8309","1"
"2020-04-06 01:27:00","-0.3818","-0.3818","-0.3818","1"
"2020-04-06 01:38:00","-0.11285","0.5707","-0.7964","2"
"2020-04-06 01:39:00","0.4035","0.807","0.0","2"
"2020-04-06 01:40:00","0.0","0.0","0.0","1"
"2020-04-06 01:48:00","-0.3818","-0.3818","-0.3818","1"
"2020-04-06 01:58:00","0.6588","0.6588","0.6588","1"
"2020-04-06 02:03:00","-0.4199","-0.4199","-0.4199","1"
"2020-04-06 02:07:00","0.0","0.0","0.0","1"
"2020-04-06 02:17:00","0.2942","0.2942","0.2942","1"
"2020-04-06 02:21:00","0.807","0.807","0.807","1"
"2020-04-06 02:25:00","0.3786","0.3786","0.3786","1"
"2020-04-06 02:32:00","0.0","0.0","0.0","1"
"2020-04-06 02:34:00","0.505","0.5696","0.4404","2"
"2020-04-06 02:38:00","-0.3818","-0.3818","-0.3818","1"
"2020-04-06 02:40:00","0.0","0.0","0.0","1"
"2020-04-06 02:42:00","-0.2732","-0.2732","-0.2732","1"
"2020-04-06 02:45:00","0.13130000000000003","0.658","-0.3954","2"
"2020-04-06 02:46:00","0.3294","0.6588","0.0","2"
"2020-04-06 02:48:00","0.0","0.0","0.0","1"
"2020-04-06 02:50:00","0.4574","0.4574","0.4574","1"
"2020-04-06 02:52:00","-0.7964","-0.7964","-0.7964","1"
"2020-04-06 02:54:00","-0.2732","-0.2732","-0.2732","1"
"2020-04-06 02:56:00","-0.3954","-0.3954","-0.3954","1"
